Tijdstip, ApparaatTemperatuur (°C), Temperatuur (°C), Luchtdruk (hPa), Luchtvochtigheid (%), Lichtintensiteit (lux), Windsnelheid (m/s), Windrichting (graden)
2025-02-06 10:32:14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-06 10:32:19,23.06,15.56,642.07,64.74,918.69,0.0,90
2025-02-06 10:32:24,35.9,28.4,1039.19,16.17,458.79,0.0,90
2025-02-06 10:32:29,35.86,28.36,1039.18,16.18,460.78,0.0,90
2025-02-06 10:32:34,35.83,28.33,1039.18,16.19,459.34,0.0,90

2025-02-06 10:37:34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-06 10:37:39,23.06,15.56,642.07,64.74,882.22,0.0,90
2025-02-06 10:37:45,35.26,27.76,1039.22,16.81,442.72,0.0,90
2025-02-06 10:37:50,35.27,27.77,1039.24,16.78,441.83,0.0,90
2025-02-06 10:37:55,35.32,27.82,1039.2,16.76,441.28,0.0,90
2025-02-06 10:38:00,35.39,27.89,1039.23,16.7,438.62,0.0,90
2025-02-06 10:38:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-06 10:38:55,23.06,15.56,642.07,64.74,882.22,0.0,90
2025-02-06 10:39:00,35.15,27.65,1039.19,16.75,441.83,0.0,90
2025-02-06 10:39:05,35.04,27.54,1039.2,16.83,441.83,0.0,90
2025-02-06 10:39:10,34.97,27.47,1039.2,16.91,441.83,0.0,90
2025-02-06 10:39:15,34.91,27.41,1039.21,16.97,441.83,0.0,90
2025-02-06 10:39:20,34.89,27.39,1039.23,16.99,441.28,0.0,90
2025-02-06 10:39:25,34.86,27.36,1039.22,17.0,440.94,0.0,90
2025-02-06 10:39:30,34.84,27.34,1039.21,17.02,440.94,0.0,90
2025-02-06 10:39:35,34.84,27.34,1039.2,17.02,440.94,0.0,90
2025-02-06 10:39:40,34.85,27.35,1039.2,17.01,440.94,0.0,90
2025-02-06 10:39:45,34.86,27.36,1039.2,17.01,440.94,0.0,90
2025-02-06 10:39:50,34.89,27.39,1039.2,16.99,439.5,0.0,90
2025-02-06 10:39:55,34.91,27.41,1039.2,16.96,441.28,0.0,90
2025-02-06 10:40:00,34.95,27.45,1039.19,16.95,440.94,0.0,90
2025-02-06 10:40:05,34.98,27.48,1039.19,16.93,441.28,0.0,90
2025-02-06 10:40:10,34.99,27.49,1039.19,16.91,440.94,0.0,90
2025-02-06 10:40:15,34.98,27.48,1039.19,16.91,440.94,0.0,90
2025-02-06 10:40:21,34.99,27.49,1039.18,16.91,440.94,0.0,90
2025-02-06 10:40:26,35.03,27.53,1039.16,16.88,441.28,0.0,90
2025-02-06 10:40:31,35.09,27.59,1039.18,16.83,438.62,0.0,90
2025-02-06 10:40:36,35.21,27.71,1039.19,16.74,439.5,0.0,90
2025-02-06 10:40:41,35.31,27.81,1039.19,16.65,440.94,0.0,90
2025-02-06 10:40:46,35.32,27.82,1039.18,16.63,442.72,0.0,90
2025-02-06 10:40:51,35.34,27.84,1039.17,16.62,442.72,0.0,90
2025-02-06 10:40:56,35.36,27.86,1039.18,16.6,441.28,0.0,90
2025-02-06 10:41:01,35.4,27.9,1039.18,16.56,439.5,0.0,90
2025-02-06 10:41:06,35.45,27.95,1039.18,16.51,440.94,0.0,90
2025-02-06 10:41:11,35.5,28.0,1039.18,16.47,438.62,0.0,90
